annotation,count
MULTISPECIES: TAXI family TRAP transporter solute-binding subunit,2097
YhgE/Pip family protein,2097
TIGR01440 family protein,2096
Na+/H+ antiporter subunit G,2096
DUF4189 domain-containing protein,2096
DUF4920 domain-containing protein,2096
LytTR family transcriptional regulator DNA-binding domain-containing protein,2096
Z1 domain-containing protein,2096
thiosulfate oxidation carrier complex protein SoxZ,2095
small ribosomal subunit biogenesis GTPase RsgA,2095
Mut7-C RNAse domain-containing protein,2095
MULTISPECIES: GPW/gp25 family protein,2094
MULTISPECIES: DNA-binding transcriptional regulator Fis,2093
MULTISPECIES: pantoate--beta-alanine ligase,2092
aldehyde ferredoxin oxidoreductase family protein,2092
QcrA and Rieske domain-containing protein,2091
MULTISPECIES: bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,2091
deoxyribonuclease V,2090
Xaa-Pro dipeptidase,2089
fimbrillin family protein,2088
N-acetylglutaminylglutamine amidotransferase,2088
V-type ATP synthase subunit B,2087
MULTISPECIES: NAD(P) transhydrogenase subunit alpha,2085
diphosphomevalonate decarboxylase,2085
choice-of-anchor D domain-containing protein,2085
amino acid deaminase,2084
MULTISPECIES: Ppx/GppA phosphatase family protein,2084
MULTISPECIES: magnesium/cobalt transporter CorA,2084
QueT transporter family protein,2083
nitrile hydratase subunit alpha,2083
DNA helicase Rep,2082
stage V sporulation protein AC,2082
ribonuclease activity regulator RraA,2082
transcriptional regulator FtsR,2080
PTS fructose transporter subunit IIC,2080
accessory Sec system translocase SecA2,2079
DUF2784 domain-containing protein,2079
transglutaminaseTgpA domain-containing protein,2077
MULTISPECIES: zinc-finger domain-containing protein,2077
MULTISPECIES: spore germination protein,2076
rhamnogalacturonan lyase,2075
MULTISPECIES: class I SAM-dependent DNA methyltransferase,2075
phosphoadenosine phosphosulfate reductase family protein,2075
MULTISPECIES: DNA topoisomerase IV subunit B,2075
ChbG/HpnK family deacetylase,2074
"formaldehyde dehydrogenase, glutathione-independent",2073
ectoine/hydroxyectoine ABC transporter permease subunit EhuC,2073
minor capsid protein,2072
DUF4242 domain-containing protein,2071
MULTISPECIES: PhzF family phenazine biosynthesis protein,2071
lipopolysaccharide heptosyltransferase I,2071
flagellar biosynthesis regulator FlaF,2070
IS91 family transposase,2070
MULTISPECIES: Fe-S cluster assembly sulfur transfer protein SufU,2069
"2,3-butanediol dehydrogenase",2069
arabinosylfuranosidase ArfA,2069
bifunctional D-glycero-beta-D-manno-heptose-7-phosphate kinase/D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase HldE,2069
MULTISPECIES: outer membrane protein,2069
MULTISPECIES: beta-ketoacyl-,2068
Fe(3+)-hydroxamate ABC transporter permease FhuB,2068
phosphocholine cytidylyltransferase family protein,2068
TrbG/VirB9 family P-type conjugative transfer protein,2068
DUF2945 domain-containing protein,2066
MULTISPECIES: DUF1292 domain-containing protein,2066
UbiH/UbiF family hydroxylase,2066
cation-transporting P-type ATPase,2066
penicillin-binding protein activator LpoB,2065
MULTISPECIES: MAPEG family protein,2064
competence protein CoiA,2063
DUF3606 domain-containing protein,2063
NERD domain-containing protein,2062
MULTISPECIES: acetate--CoA ligase,2062
octaprenyl diphosphate synthase,2061
ChaB family protein,2061
MULTISPECIES: sigma-54 interaction domain-containing protein,2060
MULTISPECIES: HEAT repeat domain-containing protein,2060
type VI secretion system tube protein TssD,2059
Bcr/CflA family multidrug efflux MFS transporter,2058
PPA1309 family protein,2058
2-aminoethylphosphonate--pyruvate transaminase,2057
DUF2970 domain-containing protein,2057
MULTISPECIES: DUF7455 domain-containing protein,2056
MULTISPECIES: phytanoyl-CoA dioxygenase family protein,2056
DUF6124 family protein,2055
MULTISPECIES: AfsR/SARP family transcriptional regulator,2055
DUF4238 domain-containing protein,2055
MULTISPECIES: polysaccharide biosynthesis/export family protein,2054
nickel transporter permease,2054
L-fuconate dehydratase,2054
glycyl-radical enzyme activating protein,2053
M10 family metallopeptidase C-terminal domain-containing protein,2052
MULTISPECIES: acetyl-CoA carboxylase carboxyltransferase subunit alpha,2052
glutathione transferase GstA,2051
PEPxxWA-CTERM sorting domain-containing protein,2051
DUF3054 domain-containing protein,2051
class D sortase,2050
heme-dependent oxidative N-demethylase family protein,2050
sporulation protein YqfD,2050
L-cystine transporter,2050
BamA/OMP85 family outer membrane protein,2050
DUF1836 domain-containing protein,2049
MULTISPECIES: phosphate acetyltransferase,2049
flagellar biosynthesis repressor FlbT,2049
benzoate-CoA ligase family protein,2049
MULTISPECIES: YqaA family protein,2048
type III PLP-dependent enzyme domain-containing protein,2047
DUF1361 domain-containing protein,2047
MULTISPECIES: TIGR00730 family Rossman fold protein,2047
MULTISPECIES: fumarate hydratase,2046
adaptor protein MecA,2046
D-serine ammonia-lyase,2044
MULTISPECIES: phosphoribosylformylglycinamidine synthase subunit PurQ,2044
OsmC family peroxiredoxin,2043
MULTISPECIES: nucleotide sugar dehydrogenase,2043
division plane positioning ATPase MipZ,2043
integron integrase,2043
AmmeMemoRadiSam system protein B,2042
2-oxo-tetronate isomerase,2042
HGxxPAAW family protein,2042
LPP20 family lipoprotein,2041
bifunctional allantoicase/(S)-ureidoglycine aminohydrolase,2041
phosphate propanoyltransferase,2040
MULTISPECIES: nitrite reductase small subunit NirD,2040
MULTISPECIES: 4'-phosphopantetheinyl transferase family protein,2040
potassium-transporting ATPase subunit C,2039
wax ester/triacylglycerol synthase domain-containing protein,2039
MULTISPECIES: urease accessory protein UreG,2039
dodecin family protein,2039
ADP compounds hydrolase NudE,2038
two-component system histidine kinase PnpS,2038
DUF3050 domain-containing protein,2038
SirB1 family protein,2037
VPS10 domain-containing protein,2037
UDP-forming cellulose synthase catalytic subunit,2037
type IV pilus assembly protein PilM,2035
DUF4193 domain-containing protein,2035
late competence development ComFB family protein,2035
MULTISPECIES: cyclase family protein,2034
cyclic-di-AMP receptor,2033
MULTISPECIES: CAP domain-containing protein,2032
DASH family cryptochrome,2031
ubiquitin-like protein Pup,2031
CARDB domain-containing protein,2031
globin-coupled sensor protein,2031
MULTISPECIES: carboxylating nicotinate-nucleotide diphosphorylase,2030
chemotaxis protein CheV,2030
DUF5686 family protein,2029
DUF1631 family protein,2029
DUF3772 domain-containing protein,2029
VirB4 family type IV secretion/conjugal transfer ATPase,2028
asparagine synthetase B family protein,2028
fumarate/nitrate reduction transcriptional regulator Fnr,2028
DUF3995 domain-containing protein,2027
YcnI family protein,2027
DNA-packaging protein,2026
MULTISPECIES: cardiolipin synthase,2026
DUF5655 domain-containing protein,2026
choline-sulfatase,2026
DUF6088 family protein,2026
flavohemoglobin expression-modulating QEGLA motif protein,2025
GTP diphosphokinase,2024
MULTISPECIES: chromate transporter,2023
TolB-like translocation protein,2023
DUF5691 domain-containing protein,2022
PhnD/SsuA/transferrin family substrate-binding protein,2022
hotdog family protein,2022
Rv2231c family pyridoxal phosphate-dependent protein CobC,2022
GTP-sensing pleiotropic transcriptional regulator CodY,2021
CaiB/BaiF CoA-transferase family protein,2021
DUF6268 family outer membrane beta-barrel protein,2020
MULTISPECIES: DUF1330 domain-containing protein,2020
stage II sporulation protein R,2020
MULTISPECIES: DUF421 domain-containing protein,2019
phosphonate C-P lyase system protein PhnK,2019
ubiquinone-dependent pyruvate dehydrogenase,2019
arginine decarboxylase,2019
mycoredoxin,2017
type II CRISPR RNA-guided endonuclease Cas9,2017
DNA repair ATPase,2017
P-type conjugative transfer protein TrbL,2016
lactate racemase domain-containing protein,2016
energy-coupled thiamine transporter ThiT,2016
polysaccharide lyase,2015
"UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase",2015
LuxE/PaaK family acyltransferase,2015
"aldehyde dehydrogenase family protein, partial",2014
"glycosyltransferase, partial",2014
adenosyl-hopene transferase HpnH,2013
RNA polymerase recycling motor ATPase HelR,2013
HopJ type III effector protein,2012
bifunctional o-acetylhomoserine/o-acetylserine sulfhydrylase,2011
MULTISPECIES: HAD-IIA family hydrolase,2011
MULTISPECIES: dihydrofolate reductase,2011
DUF2889 domain-containing protein,2011
MULTISPECIES: M20 family metallopeptidase,2010
MULTISPECIES: AMP-dependent synthetase/ligase,2010
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",2010
arsenic resistance protein,2010
MULTISPECIES: DNA-processing protein DprA,2008
MsnO8 family LLM class oxidoreductase,2008
MULTISPECIES: hydroxyisourate hydrolase,2008
DUF5694 domain-containing protein,2008
phage shock protein PspA,2006
bifunctional GNAT family N-acetyltransferase/carbon-nitrogen hydrolase family protein,2006
MULTISPECIES: pyridoxal 5'-phosphate synthase lyase subunit PdxS,2005
sigma-E processing peptidase SpoIIGA,2005
DUF5685 family protein,2005
MULTISPECIES: PQQ-dependent sugar dehydrogenase,2005
ribosome-associated ATPase/putative transporter RbbA,2005
TIGR04211 family SH3 domain-containing protein,2004
voltage-gated chloride channel family protein,2003
DUF2804 domain-containing protein,2003
RteC domain-containing protein,2002
gliding motility lipoprotein GldB,2002
IreB family regulatory phosphoprotein,2002
choice-of-anchor Q domain-containing protein,2002
cytochrome P460 family protein,2001
MULTISPECIES: anti-sigma factor family protein,2000
PEP-utilizing enzyme,2000
MULTISPECIES: glucose-1-phosphate thymidylyltransferase RfbA,2000
MULTISPECIES: MGMT family protein,2000
thiamine ABC transporter substrate binding subunit,1999
DNA polymerase,1999
cytochrome D1 domain-containing protein,1998
MbnP family protein,1997
"beta-1,6-N-acetylglucosaminyltransferase",1997
nucleoid occlusion factor SlmA,1996
sodium/solute symporter,1994
MULTISPECIES: Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,1993
MULTISPECIES: membrane protein,1993
primosomal protein DnaI,1993
beta-ketoacyl-ACP reductase,1992
MULTISPECIES: SIMPL domain-containing protein,1992
HtaA domain-containing protein,1992
MULTISPECIES: thiol peroxidase,1992
MULTISPECIES: DNA polymerase III subunit delta',1991
catalase family peroxidase,1991
aa3-type cytochrome c oxidase subunit IV,1990
NusG domain II-containing protein,1990
7TM diverse intracellular signaling domain-containing protein,1990
ArsC/Spx/MgsR family protein,1989
alcohol dehydrogenase,1986
mevalonate kinase family protein,1986
Fic/DOC family protein,1985
copper resistance D family protein,1983
MULTISPECIES: cbb3-type cytochrome oxidase assembly protein CcoS,1983
cell wall metabolism sensor histidine kinase WalK,1983
MULTISPECIES: adenosylmethionine decarboxylase,1983
MULTISPECIES: 5-(carboxyamino)imidazole ribonucleotide synthase,1982
DUF4231 domain-containing protein,1982
DUF2834 domain-containing protein,1982
cell wall-active antibiotics response protein LiaF,1982
MULTISPECIES: segregation and condensation protein A,1982
CDF family Co(II)/Ni(II) efflux transporter DmeF,1981
ArsA-related P-loop ATPase,1981
MULTISPECIES: Zn-ribbon domain-containing OB-fold protein,1981
SprT family zinc-dependent metalloprotease,1980
lipid-A-disaccharide synthase N-terminal domain-containing protein,1980
MULTISPECIES: RNA polymerase sigma factor RpoE,1980
DUF4262 domain-containing protein,1980
MULTISPECIES: glutamate--cysteine ligase,1979
YciK family oxidoreductase,1979
GldG family protein,1978
"PQQ-dependent dehydrogenase, methanol/ethanol family",1978
"MULTISPECIES: 1,4-dihydroxy-2-naphthoyl-CoA synthase",1978
MULTISPECIES: glucosamine-6-phosphate deaminase,1977
MULTISPECIES: bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,1976
polyhydroxyalkanoic acid system family protein,1975
putative immunity protein,1975
stage III sporulation protein AE,1975
glutaredoxin-like protein NrdH,1975
small basic family protein,1974
TIGR04086 family membrane protein,1974
co-chaperone DjlA,1973
SpoIIAA family protein,1973
CIA30 family protein,1972
Cgl0159 family (beta/alpha)8-fold protein,1972
TylF/MycF/NovP-related O-methyltransferase,1970
MULTISPECIES: phytoene desaturase family protein,1970
glycoside hydrolase family 113,1969
DNA ligase,1968
PhnA domain-containing protein,1968
YHYH protein,1968
glycoside hydrolase family 73 protein,1967
CHC2 zinc finger domain-containing protein,1966
6-phospho-3-hexuloisomerase,1965
DUF1659 domain-containing protein,1964
L-dopachrome tautomerase-related protein,1963
DUF6541 family protein,1963
flagellar biosynthetic protein FliQ,1963
contact-dependent growth inhibition system immunity protein,1962
HIRAN domain-containing protein,1962
tail fiber assembly protein,1961
ATP-dependent RNA helicase RhlB,1961
DUF4331 domain-containing protein,1961
PA2169 family four-helix-bundle protein,1961
"methyl-accepting chemotaxis protein, partial",1961
DUF1737 domain-containing protein,1960
MULTISPECIES: flagellar export chaperone FliS,1960
MULTISPECIES: DUF1656 domain-containing protein,1959
MULTISPECIES: murein biosynthesis integral membrane protein MurJ,1959
phosphatidylglycerophosphatase A,1959
Fe-S cluster assembly protein IscX,1959
DUF3343 domain-containing protein,1958
non-ribosomal peptide synthase/polyketide synthase,1958
DUF86 domain-containing protein,1958
AAA-like domain-containing protein,1957
DASS family sodium-coupled anion symporter,1956
"2-oxo-hept-4-ene-1,7-dioate hydratase",1956
plasmid replication protein RepC,1954
DUF4236 domain-containing protein,1954
DNA primase family protein,1952
MULTISPECIES: DNA repair protein RecN,1952
sn-glycerol-3-phosphate ABC transporter permease UgpA,1952
glucose-1-phosphate adenylyltransferase subunit GlgD,1952
MULTISPECIES: YicC/YloC family endoribonuclease,1952
MULTISPECIES: molybdate ABC transporter permease subunit,1951
MULTISPECIES: S8 family serine peptidase,1951
RNA-guided endonuclease TnpB family protein,1951
MULTISPECIES: quinone-dependent dihydroorotate dehydrogenase,1951
winged helix DNA-binding protein,1950
dipeptidyl-peptidase 3 family protein,1949
elongation factor P maturation arginine rhamnosyltransferase EarP,1949
Rha family transcriptional regulator,1948
MULTISPECIES: DUF3073 domain-containing protein,1948
MULTISPECIES: flagellar export protein FliJ,1947
deoxyhypusine synthase family protein,1946
ACP phosphodiesterase,1946
sporulation transcription factor Spo0A,1945
cysteine desulfurase NifS,1945
MULTISPECIES: DNA gyrase inhibitor YacG,1944
COQ9 family protein,1944
TIGR01457 family HAD-type hydrolase,1944
ribonucleoside triphosphate reductase,1943
DUF3570 domain-containing protein,1943
corrinoid protein,1943
MULTISPECIES: peptide MFS transporter,1943
MULTISPECIES: UDP-glucose dehydrogenase family protein,1943
anti-sigma factor antagonist,1942
conjugal transfer protein TraF,1941
DUF1059 domain-containing protein,1941
MULTISPECIES: amino-acid N-acetyltransferase,1941
DmpA family aminopeptidase,1941
"1,4-dihydroxy-2-naphthoate octaprenyltransferase",1940
MULTISPECIES: HlyD family type I secretion periplasmic adaptor subunit,1940
Rid family detoxifying hydrolase,1940
hotdog fold domain-containing protein,1940
transaldolase family protein,1939
MULTISPECIES: YfhL family 4Fe-4S dicluster ferredoxin,1939
LGFP repeat-containing protein,1939
